"langs","codes","fams","scripts","word.len","word.size","char.len","char.size","char.h0","char.h1","char.H2","char.h2","char.H3","char.h3","word.mawe10000.h0","word.mawe10000.h1","word.mawe10000.H2","word.mawe10000.h2","word.mawe10000.H3","word.mawe10000.h3","mattr500","mattr1000","mattr2000","word1","word2","word3","word4","word5","word1.prop","word2.prop","word5.prop","word10.prop","word25.prop","word50.prop","word100.prop","beta","beta.error","beta.100","beta.100.error"
"Voynich 1 Maximal Simplified","voy.1","Voynich","Voynich",10877,3241,63452,22,4.4594316186373,3.84098597807299,6.00613630540818,2.16515032733519,7.89858685935434,1.89245055394615,10.261145169667,9.04369470884335,11.3888001928214,2.34510548397801,11.5211483321192,0.132348139297866,0.621021702435495,0.539011402508552,0.474354237932345,"daiin","chol","chor","s","dy",0.0463363059667188,0.0250988323986393,0.11400202261653,0.161625448193436,0.257699733382366,0.349361037050657,0.453985473935828,-0.784533481372843,0.00145230268208267,-0.866160087154491,0.00855304499710674
"Voynich 1 Maximal Simplified Text","voy.1.text","Voynich","Voynich",10352,3021,60688,21,4.39231742277876,3.83296885674849,5.96075190087713,2.12778304412864,7.81561929602218,1.85486739514505,9.66241110172459,8.54378285211418,10.7313237028683,2.18754085075408,10.8642598788128,0.132936175944508,0.615270562770563,0.540425619834711,0.480113636363636,"daiin","chol","chor","s","dy",0.0482032457496136,0.0261785162287481,0.118044822256569,0.167793663060278,0.266325347758887,0.357805255023184,0.463292117465224,-0.789753167752157,0.00148320570459144,-0.867862971779038,0.00848489747648812
"Voynich 1 Minimal","voy.1.min","Voynich","Voynich",10877,3228,51177,40,5.32192809488736,3.89749129133813,6.40312830353677,2.50563701219864,8.68741923764042,2.28429093410366,10.2544051515915,9.03659462942921,11.3888001928214,2.35220556339215,11.5212483521232,0.132448159301867,0.620326018808777,0.538336788638955,0.473200779171418,"daM","Sol","Sor","s","dy",0.0463363059667188,0.0250988323986393,0.11400202261653,0.161625448193436,0.257699733382366,0.349636848395697,0.454261285280868,-0.784242305206878,0.00145478150125047,-0.865860238706055,0.00855326094887067
"Voynich 1 Minimal Text","voy.1.min.text","Voynich","Voynich",10352,3009,48653,39,5.28540221886225,3.89208450593779,6.36243147510301,2.47034696916522,8.61288217450158,2.25045069939857,9.6536849102932,8.53546010564141,10.7313237028683,2.19586359722685,10.8643598988168,0.133036195948509,0.614714285714286,0.539636363636364,0.478666666666667,"daM","Sol","Sor","s","dy",0.0482032457496136,0.0261785162287481,0.118044822256569,0.167793663060278,0.266325347758887,0.357998454404946,0.463581916537867,-0.789495578000239,0.00148490727371078,-0.867607755991602,0.00846811775859629
"Voynich 2 Maximal","voy.2.com","Voynich","Voynich",11087,2591,66398,26,4.70043971814109,3.86411812950057,5.83365679073734,1.96953866123677,7.51271121305948,1.67905442232213,10.1287365088387,8.73700732545916,11.4596557316706,2.72264840621144,11.6766649346142,0.217009202943628,0.561415292353823,0.492629310344828,0.393263416130021,"shedy","ol","chedy","qokedy","qokain",0.0262469558942906,0.0260665644448453,0.110309371335799,0.179579687922792,0.307838008478398,0.414719942274736,0.534499864706413,-0.610428006489635,0.00354908572065712,-0.552797961809372,0.0193355285936075
"Voynich 2 Maximal Text","voy.2.com.text","Voynich","Voynich",10071,2368,60313,26,4.70043971814109,3.86470376336206,5.82264636391998,1.95794260055792,7.48645121006707,1.66380484614709,8.63073069893026,7.59438523663231,9.51484798692851,1.9204627502962,9.69018940295427,0.175341416025755,0.557317236753856,0.496060179257362,0.466443661971831,"ol","shedy","chedy","qokedy","qokain",0.027306126501837,0.0258167014199186,0.113097011220336,0.18399364511965,0.313375037235627,0.420117168106444,0.540363419719988,-0.614252235451006,0.00365311664868572,-0.565236500758723,0.0195132549124078
"Voynich 2 Maximal Simplified","voy.2","Voynich","Voynich",11087,2591,66398,22,4.4594316186373,3.86260551355642,5.831783737591,1.96917822403458,7.51108346844808,1.67929973085708,10.1287365088387,8.73700732545916,11.4596557316706,2.72264840621144,11.6766649346142,0.217009202943628,0.561415292353823,0.492629310344828,0.393263416130021,"shedy","ol","chedy","qokedy","qokain",0.0262469558942906,0.0260665644448453,0.110309371335799,0.179579687922792,0.307838008478398,0.414719942274736,0.534499864706413,-0.610428006489635,0.00354908572065712,-0.552797961809372,0.0193355285936075
"Voynich 2 Maximal Simplified Text","voy.2.text","Voynich","Voynich",10071,2368,60313,22,4.4594316186373,3.86305966164034,5.8206232316981,1.95756357005776,7.48469825443066,1.66407502273256,8.63073069893026,7.59438523663231,9.51484798692851,1.9204627502962,9.69018940295427,0.175341416025755,0.557317236753856,0.496060179257362,0.466443661971831,"ol","shedy","chedy","qokedy","qokain",0.027306126501837,0.0258167014199186,0.113097011220336,0.18399364511965,0.313375037235627,0.420117168106444,0.540363419719988,-0.614252235451006,0.00365311664868572,-0.565236500758723,0.0195132549124078
"Voynich 2 Minimal","voy.2.min","Voynich","Voynich",11087,2576,54866,39,5.28540221886225,3.90043776853111,6.12188525762976,2.22144748909865,8.10194472573764,1.98005946810788,10.1253735772445,8.73497108096718,11.4595177389085,2.72454665794135,11.6766649346142,0.217147195705708,0.561154422788606,0.492212643678161,0.392680082796688,"Zedy","ol","Sedy","qkedy","qkaN",0.0262469558942906,0.0260665644448453,0.110309371335799,0.179579687922792,0.307838008478398,0.414719942274736,0.534499864706413,-0.61015329461066,0.00355363373552936,-0.552797961809372,0.0193355285936075
"Voynich 2 Minimal Text","voy.2.min.text","Voynich","Voynich",10071,2356,49742,39,5.28540221886225,3.9012698820453,6.11127656901135,2.21000668696606,8.07547451807063,1.96419794905928,8.62702989122099,7.59242731085751,9.51484798692851,1.922420676071,9.69018940295427,0.175341416025755,0.556745808182428,0.495605633802817,0.466026995305164,"ol","Zedy","Sedy","qkedy","qkaN",0.027306126501837,0.0258167014199186,0.113097011220336,0.18399364511965,0.313375037235627,0.420117168106444,0.540363419719988,-0.614009698447173,0.00365701896846978,-0.565236500758723,0.0195132549124078
