"langs","codes","fams","subgroups","scripts","word.len","word.size","char.len","char.size","char.h0","char.h1","char.H2","char.h2","char.H3","char.h3","word.mawe10000.h0","word.mawe10000.h1","word.mawe10000.H2","word.mawe10000.h2","word.mawe10000.H3","word.mawe10000.h3","mattr500","mattr1000","mattr2000","word1","word2","word3","word4","word5","word1.prop","word2.prop","word5.prop","word10.prop","word25.prop","word50.prop","word100.prop","beta","beta.error","beta.100","beta.100.error"
"Spanish","es","Romance","Iberian","Latin",1294134,81703,8009861,33,5.04439411935845,4.12256715203708,7.46106126723201,3.33849411519494,10.3114077869062,2.8503465196742,11.4265151881332,9.06456735544695,12.3245811190054,3.26001376355845,13.04917198237,0.724590863364612,0.49688640228752,0.4362501123725,0.38330230790492,"de","la","en","el","y",0.0748392361223799,0.042938366506096,0.207079792355351,0.283982956942635,0.380676962354748,0.417312272144925,0.456159099444107,-0.890062297029334,0.000468225787804184,-0.896353068845625,0.017408571703344
"Tarantino","roa_tara","Romance","Italo-Dalmatian","Latin",386118,56571,2222268,39,5.28540221886225,4.10061385954036,7.4299104181821,3.32929655864174,10.3521703593987,2.9222599412166,11.4897822499456,9.27430135959025,12.0788989636728,2.80459760408258,12.8340343533796,0.755135389706793,0.509310237463547,0.454849647440109,0.407434605975887,"a","de","u","le","e",0.0533412065741561,0.045224516857541,0.187199249970216,0.263554146659829,0.339489482489809,0.388171491616552,0.436185311226102,-0.799636155880845,0.000816598464447195,-0.779598965471404,0.024952256651014
"Venetian","vec","Romance","Italo-Dalmatian","Latin",114784,20886,622277,39,5.28540221886225,4.0916618543646,7.4057862837277,3.3141244293631,10.3279450677994,2.9221587840717,11.5349511382459,9.26831809342969,12.131642425796,2.86332433236627,12.6501940800697,0.518551654273711,0.506382853643601,0.452410381543922,0.406684377199156,"de","el","ła","e","l",0.0594769305826596,0.0403192082520212,0.173674031223864,0.24742995539448,0.341214803456928,0.402085656537497,0.47537984388068,-0.823220899020837,0.000781160904798162,-0.83285828715399,0.0154165909471068
"Walloon","wa","Romance","Gallo-Romance","Latin",133188,23738,706736,37,5.20945336562895,4.29423059276925,7.8014398192493,3.50720922648005,10.7536598786023,2.95222005935295,11.4797627246621,9.37909813835025,12.1723279662414,2.79322982789113,12.8810140054164,0.708686039175056,0.516442744441788,0.456344871387742,0.405868058696417,"n","f","d","a","l",0.0354986935759978,0.0245142205003454,0.122646184340932,0.197382647085323,0.318887587470343,0.392663002672913,0.462579211340361,-0.706906151435627,0.00105999530341207,-0.649203193993474,0.0184156365859546
"Belarusian","be","Slavic","East Slavic","Cyrillic",168920,32840,1252216,34,5.08746284125034,4.48717728887419,8.07563032555509,3.58845303668089,11.0677267748742,2.99209644931916,11.9520327274658,10.5032028432181,12.6464381335942,2.1432352903761,12.9876428775341,0.341204743939831,0.689076641307411,0.619930280421919,0.554831969309463,"і","у","ў","з","на",0.0287532559791617,0.0169251716789013,0.086816244376036,0.132358512905517,0.183021548662089,0.229996448022733,0.288237035282974,-0.746078785357978,0.000483843639332523,-0.790954492352312,0.0166037343036659
"Belarusian (Taraškievica)","be_x_old","Slavic","East Slavic","Cyrillic",273172,49479,2019448,34,5.08746284125034,4.53176216818339,8.12132970983685,3.58956754165346,11.137289099338,3.01595938950114,12.0470182874543,10.7874313050707,12.8067779794915,2.01934667442077,13.0749262282236,0.268148248732155,0.684564261723566,0.631881938550331,0.576530953389303,"і","у","ў","на","з",0.0279713879899843,0.0241679235060694,0.0962983029007365,0.123405766330371,0.16606021114902,0.205405385617852,0.256666129764398,-0.762363273481051,0.000553817684974203,-0.830497309112033,0.0252146523395476
"Bosnian","bs","Slavic","South Slavic","Latin",469831,69807,3143762,32,5,4.25250120461665,7.76650104402697,3.51399983941032,10.8243749616185,3.05787391759149,12.0019147457389,10.402542142692,12.8303322531276,2.42779011043564,13.1433765798836,0.313044326756008,0.638074757343961,0.583067631922575,0.528852424555818,"i","u","je","se","na",0.0405294669785519,0.0345102813564878,0.1361212861646,0.178479070133729,0.228748209462551,0.265661482533081,0.307897946282812,-0.814300550622821,0.000718073037398538,-0.834322617746563,0.0285475496361531
"Bulgarian","bg","Slavic","South Slavic","Cyrillic",419128,38615,2720484,31,4.95419631038687,4.27860782263734,7.76795906552089,3.48935124288355,10.5566324199379,2.78867335441706,11.72214549043,9.1930719855515,11.9789861531996,2.78591416764806,12.8351548434374,0.85616869023786,0.588646677592372,0.535144196428571,0.472082252617359,"г","на","български","и","в",0.136242388959936,0.0379716936114982,0.233465671584814,0.279451623370426,0.3393760378691,0.40009734496383,0.470087896776164,-1.42364595351951,0.00138743060595206,-1.52577734110148,0.0212806279199566
"Croatian","hr","Slavic","South Slavic","Latin",322131,57765,2220315,33,5.04439411935845,4.27390610048547,7.82105325031911,3.54714714983364,10.87913327008,3.05808001976087,11.9802592156368,10.4366483910866,12.7623105013366,2.32566211025,13.0579085976991,0.295598096362555,0.669286750695307,0.607609765320351,0.549604655546131,"i","u","je","se","na",0.0403438352719856,0.0293855605328267,0.122816493910862,0.159506536160754,0.212596738593926,0.252232787282193,0.301349450999749,-0.829463851803391,0.00057289468065363,-0.872092454674887,0.0224873427484084
"Czech","cs","Slavic","West Slavic","Latin",477234,73833,3238277,41,5.35755200461808,4.62596210359721,8.40956509980684,3.78360299620963,11.582852169825,3.17328707001817,11.9726436133715,10.5758727599404,12.8953955631358,2.31952280319547,13.1786001485859,0.283204585450083,0.646030590235826,0.58385609555484,0.526774363738701,"a","v","se","je","na",0.0315861820406761,0.023221312815097,0.101528809766278,0.12969109493456,0.179959935796695,0.221555882439223,0.267724009605351,-0.78845464777134,0.000375650710726316,-0.836408603804804,0.0189041982600864
